"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"03.10.2022 10:26:00 - 10:27:00","44837.2270833333","45 197 489 KByte","46282228827.4574","3 897 861 kbit/s","487232643.7252","43 496 280 KByte","44540190596.2321","3 751 148 kbit/s","468893468.7465","1 701 209 KByte","1742038231.2253","146 713 kbit/s","18339174.9787","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:27:00 - 10:28:00","44837.2277777778","28 273 869 KByte","28952441930.7177","3 860 969 kbit/s","482621135.7012","27 216 304 KByte","27869495197.8766","3 716 552 kbit/s","464569014.8004","1 057 565 KByte","1082946732.8411","144 417 kbit/s","18052120.9008","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:28:00 - 10:29:00","44837.2284722222","26 821 094 KByte","27464800018.6699","3 662 584 kbit/s","457822970.8063","25 811 830 KByte","26431313442.4073","3 524 763 kbit/s","440595323.2607","1 009 264 KByte","1033486576.2626","137 821 kbit/s","17227647.5456","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:29:00 - 10:30:00","44837.2291666667","27 836 231 KByte","28504300294.4060","3 800 573 kbit/s","475071671.5734","26 783 963 KByte","27426777954.8930","3 656 904 kbit/s","457112965.9149","1 052 268 KByte","1077522339.5130","143 670 kbit/s","17958705.6585","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:30:00 - 10:31:00","44837.2298611111","28 858 380 KByte","29550980942.2361","3 940 131 kbit/s","492516349.0373","27 762 981 KByte","28429292199.0524","3 790 572 kbit/s","473821536.6509","1 095 399 KByte","1121688743.1837","149 558 kbit/s","18694812.3864","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:31:00 - 10:32:00","44837.2305555556","28 126 385 KByte","28801418437.0889","3 840 829 kbit/s","480103657.8945","27 064 238 KByte","27713779223.5956","3 695 787 kbit/s","461973315.9459","1 062 148 KByte","1087639213.4933","145 043 kbit/s","18130341.9485","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:32:00 - 10:33:00","44837.2312500000","28 237 427 KByte","28915125676.6177","3 855 350 kbit/s","481918761.2770","27 174 624 KByte","27826814889.1321","3 710 242 kbit/s","463780248.1522","1 062 804 KByte","1088310787.4857","145 108 kbit/s","18138513.1248","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:33:00 - 10:34:00","44837.2319444444","28 014 778 KByte","28687133166.3067","3 824 951 kbit/s","478118886.1051","26 958 351 KByte","27605351533.8774","3 680 714 kbit/s","460089192.2313","1 056 427 KByte","1081781632.4293","144 238 kbit/s","18029693.8738","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:34:00 - 10:35:00","44837.2326388889","26 793 884 KByte","27436937721.8425","3 658 868 kbit/s","457358521.7843","25 772 918 KByte","26391467923.2372","3 519 449 kbit/s","439931120.5740","1 020 967 KByte","1045469798.6052","139 419 kbit/s","17427401.2103","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:35:00 - 10:36:00","44837.2333333333","25 354 770 KByte","25963284829.1961","3 462 348 kbit/s","432793546.0776","24 378 101 KByte","24963175897.5553","3 328 978 kbit/s","416122285.3401","976 669 KByte","1000108931.6408","133 370 kbit/s","16671260.7375","0 %","0.0000","100 %","0000009998"
